state,median_sqft_state
0,1592
AK,1674.5
AL,1752
AR,1685.25
AZ,1708
CA,1632
CO,2107.5
CT,1823.5
DC,1931
DE,1852.5
FL,1726.5
GA,1901.5
HI,1503
IA,1482.5
ID,1734.25
IL,1604.5
IN,1697.5
KS,1675
KY,1655
LA,1745
MA,1761.5
MD,2030
ME,1641
MI,1538.25
MN,1783.25
MO,1641.25
MS,1750.75
MT,1952.5
NC,1717.75
NE,1823
NH,1854.5
NJ,1705.5
NM,1760.25
NV,1789.5
NY,1650
OH,1563
OK,1620.75
OR,1676
PA,1645
RI,1751
SC,1790
SD,1793.5
TN,1715.25
TX,1811.5
UT,2311
VA,1874
VT,1817
WA,1782.5
WI,1740.25
WV,1630
