zip,lat,lon,state
15466,40.0751,-79.8943,PA
15744,40.9233,-79.0831,PA
17881,40.7819,-76.6702,PA
20254,38.8933,-77.0146,DC
21793,39.4787,-77.3484,MD
22042,38.8635,-77.1939,VA
30647,34.1726,-83.2921,GA
33747,27.8918,-82.7248,FL
38947,33.5324,-89.9001,MS
44514,41.0093,-80.6183,OH
50046,41.9025,-93.5305,IA
56235,45.7014,-96.0649,MN
63048,38.2625,-90.3896,MO
65770,37.3943,-93.5044,MO
84605,40.177,-111.536,UT
85336,32.5545,-114.785,AZ
85339,33.3436,-112.1716,AZ
91106,34.1435,-118.1266,CA
94232,38.5816,-121.4944,CA
1827,42.6739,-71.4952,MA
3837,43.4466,-71.2995,NH
12465,42.1331,-74.4802,NY
13753,42.2937,-74.9207,NY
15476,39.8697,-79.9206,PA
28423,34.3091,-78.3372,NC
31131,33.8444,-84.4741,GA
34607,28.5065,-82.6267,FL
35260,33.5446,-86.9292,AL
39166,33.0507,-90.4928,MS
44302,41.092,-81.542,OH
47722,37.9702,-87.542,IN
49310,43.5228,-85.0589,MI
49555,42.9634,-85.6681,MI
50845,40.8226,-94.3552,IA
55811,46.8147,-92.1998,MN
56085,44.2821,-94.7273,MN
70725,30.13,-90.9651,LA
71942,34.2235,-93.0024,AR
73638,35.8368,-99.8064,OK
92264,33.8018,-116.517,CA
99016,47.6584,-117.1568,WA
14469,42.8851,-77.46,NY
19108,39.9598,-75.1616,PA
32229,30.3449,-81.6831,FL
36054,32.4995,-86.3641,AL
43287,39.969,-83.0114,OH
59028,45.4002,-109.5821,MT
59315,47.41,-104.9596,MT
62084,38.8482,-90.0798,IL
62910,37.1542,-88.5334,IL
70343,29.5485,-90.6087,LA
77227,29.834,-95.4342,TX
31816,32.8721,-84.6312,GA
32746,28.7577,-81.3508,FL
33482,26.4615,-80.0728,FL
45339,39.9871,-84.3334,OH
48103,42.2794,-83.784,MI
48177,41.8076,-83.5793,MI
57577,43.5589,-101.7219,SD
72069,34.5993,-91.1844,AR
80750,40.3307,-103.5971,CO
90806,33.8045,-118.1876,CA
2176,42.4581,-71.0632,MA
5101,43.1482,-72.4664,VT
8340,39.4451,-74.8667,NJ
13865,42.0759,-75.6405,NY
17765,41.5692,-76.9421,PA
30061,33.9328,-84.556,GA
39194,32.8594,-90.4031,MS
45377,39.8883,-84.2023,OH
6155,41.7693,-72.6865,CT
10138,40.7808,-73.9772,NY
17876,40.8459,-76.8224,PA
20172,38.9696,-77.3861,VA
29803,33.5059,-81.6951,SC
33109,25.7588,-80.1376,FL
44035,41.3724,-82.1051,OH
45734,39.663,-81.1822,OH
54526,45.4862,-90.8479,WI
85344,34.15,-114.2891,AZ
89505,39.5224,-119.8353,NV
7031,40.7898,-74.1343,NJ
12927,44.229,-74.8581,NY
16423,42.0204,-80.3388,PA
18928,40.336,-75.0429,PA
22241,38.8808,-77.1129,VA
22469,38.0573,-76.6616,VA
34602,28.5093,-82.2957,FL
