,9032.217472,161.1184301,889.0152041,1050.133634,889.0152041,1798.736625,391.8988659,2134.199098,3490.923128
Date/Time,Electricity:Facility [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
 01/02  18:00:00,1.936744063,0,0.247096286,0.247096286,0.247096286,0.52524165,0.114436773,0.445069937,0.587787417
 01/02  19:00:00,2.24123986,0,0.206367794,0.206367794,0.206367794,0.781128612,0.170188022,0.398283704,0.638159727
 01/02  20:00:00,2.210396618,0,0.210508708,0.210508708,0.210508708,0.828265695,0.180457992,0.315345897,0.658706327
 01/02  21:00:00,2.065273572,0,0.221628256,0.221628256,0.221628256,0.713789982,0.155516632,0.275874928,0.681351773
 01/02  22:00:00,1.922026346,0,0.251237859,0.251237859,0.251237859,0.599314185,0.130575291,0.258342283,0.665444728
 01/02  23:00:00,1.610227455,0,0.261910096,0.261910096,0.261910096,0.451169115,0.098298255,0.205880856,0.575857133
 01/02  24:00:00,1.312182246,0,0.281494118,0.281494118,0.281494118,0.309757866,0.067488347,0.135920782,0.500409133
 01/03  01:00:00,1.022940617,0,0.308720694,0.308720694,0.308720694,0.161612796,0.035211311,0.086369242,0.413914574
 01/03  02:00:00,0.930576599,0,0.345305446,0.345305446,0.345305446,0.094274166,0.020539939,0.072238755,0.381106294
 01/03  03:00:00,0.890713063,0,0.355188085,0.355188085,0.355188085,0.067338672,0.014671381,0.059715255,0.37668767
 01/03  04:00:00,0.877463309,0,0.354344908,0.354344908,0.354344908,0.067338672,0.014671381,0.052611026,0.371385321
 01/03  05:00:00,0.864458669,0,0.344828716,0.344828716,0.344828716,0.067338672,0.014671381,0.063151709,0.357356191
 01/03  06:00:00,0.910764627,0,0.336880297,0.336880297,0.336880297,0.067338672,0.014671381,0.075981488,0.398780788
 01/03  07:00:00,1.138816086,0,0.342570912,0.342570912,0.342570912,0.154878975,0.033744183,0.129758031,0.460751986
 01/03  08:00:00,1.427341726,0,0.312793028,0.312793028,0.312793028,0.316491771,0.068955493,0.207405929,0.489583505
 01/03  09:00:00,1.35729087,0,0.288528382,0.288528382,0.288528382,0.303024045,0.066021219,0.268690649,0.413914574
 01/03  10:00:00,1.173988871,0,0.285945444,0.285945444,0.285945444,0.154878975,0.033744183,0.330033496,0.352274774
 01/03  11:00:00,1.192080655,0,0.313713287,0.313713287,0.313713287,0.127943439,0.027875616,0.34487662,0.360559693
 01/03  12:00:00,1.165960495,0,0.271239556,0.271239556,0.271239556,0.127943439,0.027875616,0.361119726,0.360670159
 01/03  13:00:00,1.13555719,0,0.25618561,0.25618561,0.25618561,0.127943439,0.027875616,0.351845974,0.354594551
 01/03  14:00:00,1.070561353,0,0.212926283,0.212926283,0.212926283,0.127943439,0.027875616,0.317847783,0.366856232
 01/03  15:00:00,1.052391859,0,0.191104284,0.191104284,0.191104284,0.134677344,0.029342762,0.292642171,0.387513298
 01/03  16:00:00,1.131153191,0,0.197098329,0.197098329,0.197098329,0.168346701,0.036678457,0.302863616,0.409054088
 01/03  17:00:00,1.410666501,0,0.211552251,0.211552251,0.211552251,0.282822414,0.061619798,0.353720743,0.483839294
 01/03  18:00:00,1.942285992,0,0.252638214,0.252638214,0.252638214,0.52524165,0.114436773,0.445069937,0.587787417
 01/03  19:00:00,2.251659875,0,0.216787809,0.216787809,0.216787809,0.781128612,0.170188022,0.398283704,0.638159727
 01/03  20:00:00,2.215951494,0,0.216063583,0.216063583,0.216063583,0.828265695,0.180457992,0.315345897,0.658706327
 01/03  21:00:00,2.067483815,0,0.223838499,0.223838499,0.223838499,0.713789982,0.155516632,0.275874928,0.681351773
 01/03  22:00:00,1.903218382,0,0.232429894,0.232429894,0.232429894,0.599314185,0.130575291,0.258342283,0.665444728
 01/03  23:00:00,1.593729915,0,0.245412556,0.245412556,0.245412556,0.451169115,0.098298255,0.205880856,0.575857133
 01/03  24:00:00,1.28495519,0,0.254267062,0.254267062,0.254267062,0.309757866,0.067488347,0.135920782,0.500409133
 01/04  01:00:00,0.978040505,0,0.263820583,0.263820583,0.263820583,0.161612796,0.035211311,0.086369242,0.413914574
